ADMINDEST,RDBAdminDest
ADMINDESTJURD1,RdbTaxAreaDistrict
ADMINDESTJURD2,RdbTaxAreaDistrict
ADMINDESTJURD3,RdbTaxAreaDistrict
ADMINDESTJURD4,RdbTaxAreaDistrict
ADMINDESTTA,RDBTaxAreaJurNames
ADMINORIG,RDBAdminOrigin
ADMINORIGJURD1,RdbTaxAreaDistrict
ADMINORIGJURD2,RdbTaxAreaDistrict
ADMINORIGJURD3,RdbTaxAreaDistrict
ADMINORIGJURD4,RdbTaxAreaDistrict
ADMINORIGTA,RDBTaxAreaJurNames
APPTYPE,RDBApportionmentType
BASISTYPE,RDBBasisType
BUSTRANS,RDBBusTransType
BUYER,RDBBuyer
BUYERCLS,RDBBuyer
BUYERCLSPTY,RDBPartyDetail
BUYERPTY,RDBPartyDetail
BUYERREG,RDBBuyerRegistration
BUYERTYPE,RDBPartyType
CCCU,RDBCurrencyUnit
CERT,RDBCertificateDim
CERTTYPE,RDBCertClassType
CHAIN,RDBChainTransType
COMCODE,RDBTxbltyDvrDim
COMCODEN,RDBTxbltyDvrDetail
COMCODET,RDBInputParamType
COSTCENTER,RDBTxbltyDvrDim
COSTCENTERN,RDBTxbltyDvrDetail
CURUNIT,RDBCurrencyUnit
DATEFLX,RDBLnItmDateFlxFld
DATEFLX1,RDBLnItmDateFlxFld
DATEFLX2,RDBLnItmDateFlxFld
DATEFLX3,RDBLnItmDateFlxFld
DATEFLX4,RDBLnItmDateFlxFld
DATEFLX5,RDBLnItmDateFlxFld
DATEFLXN1,RDBFlexFieldDefDtl
DATEFLXN2,RDBFlexFieldDefDtl
DATEFLXN3,RDBFlexFieldDefDtl
DATEFLXN4,RDBFlexFieldDefDtl
DATEFLXN5,RDBFlexFieldDefDtl
DEPARTMENT,RDBTxbltyDvrDim
DEPARTMENTN,RDBTxbltyDvrDetail
DEST,RDBDestination
DESTJURD1,RdbTaxAreaDistrict
DESTJURD2,RdbTaxAreaDistrict
DESTJURD3,RdbTaxAreaDistrict
DESTJURD4,RdbTaxAreaDistrict
DESTTA,RDBTaxAreaJurNames
DISCCAT,RDBDiscountCat
DISCDIM,RDBDiscountDim
DISP,RDBDispatcher
DISPCLS,RDBDispatcher
DISPCLSPTY,RDBPartyDetail
DISPPTY,RDBPartyDetail
DISPREG,RDBDispRegistration
DISPTYPE,RDBPartyType
FILECAT,RDBFilingCategory
FILECATOVR,RDBFilingOverride
FILECURUNIT,RDBCurrencyUnit
FILEOVRJURTYPESET,RDBJurTypeSet
GLACCT,RDBTxbltyDvrDim
GLACCTN,RDBTxbltyDvrDetail
IMP,RDBTaxImpsnDetail
IMPTYPE,RDBImpositionType
INPTAXISOCTRY,RDBJurisdiction
IOTYPE,RDBInputOutputType
ITEMCLASS,RDBTxbltyDvrDim
ITEMCLASSN,RDBTxbltyDvrDetail
ITEMTYPE,RDBTxbltyDvrDim
ITEMTYPEN,RDBTxbltyDvrDetail
JUR,RDBJurisdiction
JURTYPE,RDBJurType
LI,RDBLineItem
LIASSTSTATE,RDBAssistedState
MATCODE,RDBTxbltyDvrDim
MATCODEN,RDBTxbltyDvrDetail
MATORG,RDBTxbltyDvrDim
MATORGN,RDBTxbltyDvrDetail
NUMFLX,RDBLnItmNumFlxFld
NUMFLX1,RDBLnItmNumFlxFld
NUMFLX10,RDBLnItmNumFlxFld
NUMFLX2,RDBLnItmNumFlxFld
NUMFLX3,RDBLnItmNumFlxFld
NUMFLX4,RDBLnItmNumFlxFld
NUMFLX5,RDBLnItmNumFlxFld
NUMFLX6,RDBLnItmNumFlxFld
NUMFLX7,RDBLnItmNumFlxFld
NUMFLX8,RDBLnItmNumFlxFld
NUMFLX9,RDBLnItmNumFlxFld
NUMFLXN1,RDBFlexFieldDefDtl
NUMFLXN10,RDBFlexFieldDefDtl
NUMFLXN2,RDBFlexFieldDefDtl
NUMFLXN3,RDBFlexFieldDefDtl
NUMFLXN4,RDBFlexFieldDefDtl
NUMFLXN5,RDBFlexFieldDefDtl
NUMFLXN6,RDBFlexFieldDefDtl
NUMFLXN7,RDBFlexFieldDefDtl
NUMFLXN8,RDBFlexFieldDefDtl
NUMFLXN9,RDBFlexFieldDefDtl
ONOTICE,RDBLineItemNotice
ONOTICE1,RDBLineItemNotice
ONOTICE2,RDBLineItemNotice
ONOTICE3,RDBLineItemNotice
ONOTICE4,RDBLineItemNotice
ONOTICE5,RDBLineItemNotice
ONOTICEN1,RDBOutputNotice
ONOTICEN2,RDBOutputNotice
ONOTICEN3,RDBOutputNotice
ONOTICEN4,RDBOutputNotice
ONOTICEN5,RDBOutputNotice
ORIGCURUNIT,RDBCurrencyUnit
OWNER,RDBOwner
OWNERCLS,RDBOwner
OWNERCLSPTY,RDBPartyDetail
OWNERPTY,RDBPartyDetail
OWNERREG,RDBOwnerRegistration
OWNERTYPE,RDBPartyType
PHYSORIG,RDBPhysicalOrigin
PHYSORIGJURD1,RdbTaxAreaDistrict
PHYSORIGJURD2,RdbTaxAreaDistrict
PHYSORIGJURD3,RdbTaxAreaDistrict
PHYSORIGJURD4,RdbTaxAreaDistrict
PHYSORIGTA,RDBTaxAreaJurNames
PROJECT,RDBTxbltyDvrDim
PROJECTN,RDBTxbltyDvrDetail
RATECLASS,RDBRateClass
REASONCAT,RDBReasonCategory
RECP,RDBRecipient
RECPCLS,RDBRecipient
RECPCLSPTY,RDBPartyDetail
RECPPTY,RDBPartyDetail
RECPREG,RDBRecipientRegistration
RECPTYPE,RDBPartyType
REF,RDBLineItemRef
SELLER,RDBSeller
SELLERCLS,RDBSeller
SELLERCLSPTY,RDBPartyDetail
SELLERPTY,RDBPartyDetail
SELLERREG,RDBSellerRegistration
SELLERTYPE,RDBPartyType
SHIPTERM,RDBShippingTerms
SIMP,RDBSimplificationType
SKU,RDBTxbltyDvrDim
SKUN,RDBTxbltyDvrDetail
SS,RDBSource
STATCUR,RDBCurrencyUnit
STRFLX,RDBLnItmStrngFlxFld
