name,type,comment
sourcename,string,
lineitemid,string,
parentlineitemid,string,
lineitemnumber,bigint,
transactionid,string,
usertransidcode,string,
transactiontype,string,
transorigtype,string,
transsubtype,string,
transperspective,string,
transstatus,string,
transsyncind,boolean,
transsyncseqnum,bigint,
transsyncidcode,string,
lineitemsyncidcode,string,
taxdate,date,
transprocdate,date,
itemtypecode,string,
itemtypename,string,
itemclasscode,string,
itemclassname,string,
usagetypecode,string,
usagetypename,string,
usageclasscode,string,
usageclassname,string,
unitofmeasisocode,string,
userlocationcode,string,
unitprice,"decimal(20,6)",
extendedprice,"decimal(20,6)",
inputextendedprice,"decimal(20,6)",
undiscountedprice,"decimal(20,6)",
inputundiscprice,"decimal(20,6)",
itemquantity,"decimal(20,6)",
componentind,boolean,
inputtotaltaxamt,"decimal(20,6)",
freightchargeamt,"decimal(20,6)",
chargedtaxamt,"decimal(20,6)",
ovrdlocroletype,string,
taxunderthrshldind,boolean,
simplificationtype,string,
customsstatus,string,
movementmethod,string,
basistype,string,
landedcost,"decimal(20,6)",
shippingterms,string,
chaintranstype,string,
titletransfer,string,
lastupdatedate,date,
bustranstype,string,
currencyunit,string,
origcurrencyunit,string,
costcentercode,string,
costcentername,string,
departmentcode,string,
departmentname,string,
genldgracctcode,string,
genldgracctname,string,
materialcode,string,
materialname,string,
projectcode,string,
projectname,string,
vendorskucode,string,
vendorskuname,string,
commoditycode,string,
commodityname,string,
commoditycodetype,string,
intrastatcmdtycode,string,
countryoforigin,string,
modeoftransport,string,
natureoftrans,string,
netmasskilograms,"decimal(20,6)",
weight,"decimal(20,6)",
volume,"decimal(20,6)",
strgflxfld1name,string,
strgflxfld1value,string,
strgflxfld2name,string,
strgflxfld2value,string,
strgflxfld3name,string,
strgflxfld3value,string,
strgflxfld4name,string,
strgflxfld4value,string,
strgflxfld5name,string,
strgflxfld5value,string,
strgflxfld6name,string,
strgflxfld6value,string,
strgflxfld7name,string,
strgflxfld7value,string,
strgflxfld8name,string,
strgflxfld8value,string,
strgflxfld9name,string,
strgflxfld9value,string,
strgflxfld10name,string,
strgflxfld10value,string,
strgflxfld11name,string,
strgflxfld11value,string,
strgflxfld12name,string,
strgflxfld12value,string,
strgflxfld13name,string,
strgflxfld13value,string,
strgflxfld14name,string,
strgflxfld14value,string,
strgflxfld15name,string,
strgflxfld15value,string,
strgflxfld16name,string,
strgflxfld16value,string,
strgflxfld17name,string,
strgflxfld17value,string,
strgflxfld18name,string,
strgflxfld18value,string,
strgflxfld19name,string,
strgflxfld19value,string,
strgflxfld20name,string,
strgflxfld20value,string,
strgflxfld21name,string,
strgflxfld21value,string,
strgflxfld22name,string,
strgflxfld22value,string,
strgflxfld23name,string,
strgflxfld23value,string,
strgflxfld24name,string,
strgflxfld24value,string,
strgflxfld25name,string,
strgflxfld25value,string,
dateflxfld1name,string,
dateflxfld1value,date,
dateflxfld2name,string,
dateflxfld2value,date,
dateflxfld3name,string,
dateflxfld3value,date,
dateflxfld4name,string,
dateflxfld4value,date,
dateflxfld5name,string,
dateflxfld5value,date,
numflxfld1name,string,
numflxfld1value,"decimal(20,6)",
numflxfld2name,string,
numflxfld2value,"decimal(20,6)",
numflxfld3name,string,
numflxfld3value,"decimal(20,6)",
numflxfld4name,string,
numflxfld4value,"decimal(20,6)",
numflxfld5name,string,
numflxfld5value,"decimal(20,6)",
numflxfld6name,string,
numflxfld6value,"decimal(20,6)",
numflxfld7name,string,
numflxfld7value,"decimal(20,6)",
numflxfld8name,string,
numflxfld8value,"decimal(20,6)",
numflxfld9name,string,
numflxfld9value,"decimal(20,6)",
numflxfld10name,string,
numflxfld10value,"decimal(20,6)",
discountcatname,string,
discountcode,string,
discountamt,"decimal(20,6)",
discountpct,"decimal(10,6)",
grossamt,"decimal(20,6)",
inputcostamt,"decimal(20,6)",
lineitemassistedstate,string,
recovamountdate,date,
inptaxcntryisocode,string,
inptaxrecovrdpct,"decimal(10,6)",
inptaximportind,boolean,
inptaxamt,"decimal(20,6)",
buyername,string,
buyerexemptind,boolean,
buyerpartytype,string,
buyrexmptcertcode,string,
buyrprimpartycode,string,
buyrscndpartycode,string,
buyrtrtrypartycode,string,
buyrpartyclasscode,string,
buyerbusinessind,boolean,
sellername,string,
sellerexemptind,boolean,
sellerpartytype,string,
selrexmptcertcode,string,
selrprimpartycode,string,
selrscndpartycode,string,
selrtrtrypartycode,string,
selrpartyclasscode,string,
sellerbusinessind,boolean,
ownername,string,
ownerexemptind,boolean,
ownerpartytype,string,
ownrexmptcertcode,string,
ownrprimpartycode,string,
ownrscndpartycode,string,
ownrtrtrypartycode,string,
ownrpartyclasscode,string,
ownerbusinessind,boolean,
recppartyname,string,
recpexemptind,boolean,
recppartytype,string,
recpexmptcertcode,string,
recpprimpartycode,string,
recpscndpartycode,string,
recptrtrypartycode,string,
recppartyclasscode,string,
recpbusinessind,boolean,
disppartyname,string,
dispexemptind,boolean,
disppartytype,string,
dispexmptcertcode,string,
dispprimpartycode,string,
dispscndpartycode,string,
disptrtrypartycode,string,
disppartyclasscode,string,
dispbusinessind,boolean,
reversalind,boolean,
weightunitcode,string,
volumeunitcode,string,
billedtodateamt,"decimal(20,6)",
exportprocedure,string,
supplementaryunit,"decimal(20,6)",
supplementaryunittype,string,
documenttype,string,
billingtype,string,
ordertype,string,
statisticalvalue,"decimal(20,6)",
statisticalvaluecurrencyunitname,string,
documentsequenceidcode,string,
paymentdate,date,
transproctime,timestamp,
taxpointdate,date,
companycodecurrencytaxableamt,"decimal(20,6)",
companycodecurrencytaxamt,"decimal(20,6)",
companycodecurrencyunit,string,
materialorigincode,string,
materialoriginname,string,
transforcedind,boolean,
specialtaxbasis,"decimal(20,6)",
wagebasis,"decimal(20,6)",
totaltax,"decimal(20,6)",
totalcombinedrate,"decimal(10,6)",
financialeventtype,string,
taxpayertaxoverthresholdamount,"decimal(20,6)",
taxpayertaxoverthresholdpercent,"decimal(10,6)",
taxpayertaxunderthresholdamount,"decimal(20,6)",
taxpayertaxunderthresholdpercent,"decimal(10,6)",
vendortaxoverthresholdamount,"decimal(20,6)",
vendortaxoverthresholdpercent,"decimal(10,6)",
vendortaxunderthresholdamount,"decimal(20,6)",
