name, type, nullable, uuid, notes, oversion, wtjversion
"sourceName","Name",0,,,,
"lineItemId","Code",0,1,,,
"parentLineItemId","Code",0,1,,,
"lineItemNumber","Number",1,,,,
"transactionId","Code",0,1,,,
"userTransIdCode","Code",1,1,,,
"transactionType","Type",0,,,,
"transOrigType","Type",0,,,,
"transSubType","Type",1,,,,
"transPerspective","Code",0,,,,
"transStatus","Code",0,,,,
"transSyncInd","Boolean",1,,,,
"transSyncSeqNum","Number",1,,,,
"transSyncIdCode","Code",0,,,,
"lineItemSyncIdCode","Code",0,,,,
"taxDate","Date",0,,,,
"postingDate","Date",0,,,,
"transProcDate","Date",0,,,,
"itemTypeCode","Code",0,,,,
"itemTypeName","Name",1,,,,
"itemClassCode","Code",0,,,,
"itemClassName","Name",1,,,,
"usageTypeCode","Code",1,,,,
"usageTypeName","Name",1,,,,
"usageClassCode","Code",1,,,,
"usageClassName","Name",1,,,,
"unitOfMeasISOCode","Code",1,,,,
"userLocationCode","Code",1,,,,
"unitPrice","Amount",0,,,,
"extendedPrice","Amount",0,,,,
"inputExtendedPrice","Amount",0,,,,
"undiscountedPrice","Amount",0,,,,
"inputUndiscPrice","Amount",0,,,,
"itemQuantity","Amount",0,,,,
"componentInd","Boolean",1,,,,
"inputTotalTaxAmt","Amount",1,,,,
"freightChargeAmt","Amount",0,,,,
"chargedTaxAmt","Amount",1,,,,
"ovrdLocRoleType","Type",1,,,,
"taxUnderThrshldInd","Boolean",1,,,,
"simplificationType","Type",1,,,,
"customsStatus","Code",1,,,,
"movementMethod","Code",0,,,,
"basisType","Type",0,,,,
"landedCost","Amount",0,,,,
"shippingTerms","Code",1,,,,
"chainTransType","Type",1,,,,
"titleTransfer","Code",1,,,,
"lastUpdateDate","Date",0,,,,
"busTransType","Type",0,,,,
"currencyUnit","Code",0,,,,
"origCurrencyUnit","Code",0,,,,
"costCenterCode","Code",1,,,,
"costCenterName","Name",1,,,,
"departmentCode","Code",1,,,,
"departmentName","Name",1,,,,
"genLdgrAcctCode","Code",1,,,,
"genLdgrAcctName","Name",1,,,,
"materialCode","Code",1,,,,
"materialName","Name",1,,,,
"projectCode","Code",1,,,,
"projectName","Name",1,,,,
"vendorSKUCode","Code",1,,,,
"vendorSKUName","Name",1,,,,
"commodityCode","Code",1,,,,
"commodityName","Name",1,,,,
"commodityCodeType","Type",1,,,,
"intrastatCmdtyCode","Code",1,,,,
"countryOfOrigin","Code",1,,,,
"modeOfTransport","Code",1,,,,
"natureOfTrans","Code",1,,,,
"netMassKilograms","Amount",1,,,,
"weight","Amount",1,,,,
"volume","Amount",1,,,,
"strgFlxFld1Name","Name",1,,,,
"strgFlxFld1Value","Code",1,,,,
"strgFlxFld2Name","Name",1,,,,
"strgFlxFld2Value","Code",1,,,,
"strgFlxFld3Name","Name",1,,,,
"strgFlxFld3Value","Code",1,,,,
"strgFlxFld4Name","Name",1,,,,
"strgFlxFld4Value","Code",1,,,,
"strgFlxFld5Name","Name",1,,,,
"strgFlxFld5Value","Code",1,,,,
"strgFlxFld6Name","Name",1,,,,
"strgFlxFld6Value","Code",1,,,,
"strgFlxFld7Name","Name",1,,,,
"strgFlxFld7Value","Code",1,,,,
"strgFlxFld8Name","Name",1,,,,
"strgFlxFld8Value","Code",1,,,,
"strgFlxFld9Name","Name",1,,,,
"strgFlxFld9Value","Code",1,,,,
"strgFlxFld10Name","Name",1,,,,
"strgFlxFld10Value","Code",1,,,,
"strgFlxFld11Name","Name",1,,,,
"strgFlxFld11Value","Code",1,,,,
"strgFlxFld12Name","Name",1,,,,
"strgFlxFld12Value","Code",1,,,,
"strgFlxFld13Name","Name",1,,,,
"strgFlxFld13Value","Code",1,,,,
"strgFlxFld14Name","Name",1,,,,
"strgFlxFld14Value","Code",1,,,,
"strgFlxFld15Name","Name",1,,,,
"strgFlxFld15Value","Code",1,,,,
"strgFlxFld16Name","Name",1,,,,
"strgFlxFld16Value","Code",1,,,,
"strgFlxFld17Name","Name",1,,,,
"strgFlxFld17Value","Code",1,,,,
"strgFlxFld18Name","Name",1,,,,
"strgFlxFld18Value","Code",1,,,,
"strgFlxFld19Name","Name",1,,,,
"strgFlxFld19Value","Code",1,,,,
"strgFlxFld20Name","Name",1,,,,
"strgFlxFld20Value","Code",1,,,,
"strgFlxFld21Name","Name",1,,,,
"strgFlxFld21Value","Code",1,,,,
"strgFlxFld22Name","Name",1,,,,
"strgFlxFld22Value","Code",1,,,,
"strgFlxFld23Name","Name",1,,,,
"strgFlxFld23Value","Code",1,,,,
"strgFlxFld24Name","Name",1,,,,
"strgFlxFld24Value","Code",1,,,,
"strgFlxFld25Name","Name",1,,,,
"strgFlxFld25Value","Code",1,,,,
"dateFlxFld1Name","Name",1,,,,
"dateFlxFld1Value","Date",1,,,,
"dateFlxFld2Name","Name",1,,,,
"dateFlxFld2Value","Date",1,,,,
"dateFlxFld3Name","Name",1,,,,
"dateFlxFld3Value","Date",1,,,,
"dateFlxFld4Name","Name",1,,,,
"dateFlxFld4Value","Date",1,,,,
"dateFlxFld5Name","Name",1,,,,
"dateFlxFld5Value","Date",1,,,,
"numFlxFld1Name","Name",1,,,,
"numFlxFld1Value","Amount",1,,,,
"numFlxFld2Name","Name",1,,,,
"numFlxFld2Value","Amount",1,,,,
"numFlxFld3Name","Name",1,,,,
"numFlxFld3Value","Amount",1,,,,
"numFlxFld4Name","Name",1,,,,
"numFlxFld4Value","Amount",1,,,,
"numFlxFld5Name","Name",1,,,,
"numFlxFld5Value","Amount",1,,,,
"numFlxFld6Name","Name",1,,,,
"numFlxFld6Value","Amount",1,,,,
"numFlxFld7Name","Name",1,,,,
"numFlxFld7Value","Amount",1,,,,
"numFlxFld8Name","Name",1,,,,
"numFlxFld8Value","Amount",1,,,,
"numFlxFld9Name","Name",1,,,,
"numFlxFld9Value","Amount",1,,,,
"numFlxFld10Name","Name",1,,,,
"numFlxFld10Value","Amount",1,,,,
"discountCatName","Name",1,,,,
"discountCode","Code",1,,,,
"discountAmt","Amount",0,,,,
"discountPct","Percent",0,,,,
"grossAmt","Amount",0,,,,
"inputCostAmt","Amount",0,,,,
"lineItemAssistedState","Code",0,,,,
"recovAmountDate","Date",1,,,,
"inpTaxCntryISOCode","Code",1,,,,
"inpTaxRecOvrdPct","Percent",1,,,,
"inpTaxImportInd","Boolean",1,,,,
"inpTaxAmt","Amount",1,,,,
"buyerName","Name",1,,,,
"buyerExemptInd","Boolean",1,,,,
"buyerPartyType","Type",0,,,,
"buyrExmptCertCode","Code",1,,,,
"buyrPrimPartyCode","Code",1,,,,
"buyrScndPartyCode","Code",1,,,,
"buyrTrtryPartyCode","Code",1,,,,
"buyrPartyClassCode","Code",1,,,,
"buyerBusinessInd","Boolean",1,,,,
"sellerName","Name",1,,,,
"sellerExemptInd","Boolean",1,,,,
"sellerPartyType","Type",0,,,,
"selrExmptCertCode","Code",1,,,,
"selrPrimPartyCode","Code",0,,,,
"selrScndPartyCode","Code",0,,,,
"selrTrtryPartyCode","Code",0,,,,
"selrPartyClassCode","Code",1,,,,
"sellerBusinessInd","Boolean",1,,,,
"ownerName","Name",1,,,,
"ownerExemptInd","Boolean",1,,,,
"ownerPartyType","Type",1,,,,
"ownrExmptCertCode","Code",1,,,,
"ownrPrimPartyCode","Code",1,,,,
"ownrScndPartyCode","Code",1,,,,
"ownrTrtryPartyCode","Code",1,,,,
"ownrPartyClassCode","Code",1,,,,
"ownerBusinessInd","Boolean",1,,,,
"recpPartyName","Name",1,,,,
"recpExemptInd","Boolean",1,,,,
"recpPartyType","Type",1,,,,
"recpExmptCertCode","Code",1,,,,
"recpPrimPartyCode","Code",1,,,,
"recpScndPartyCode","Code",1,,,,
"recpTrtryPartyCode","Code",1,,,,
"recpPartyClassCode","Code",1,,,,
"recpBusinessInd","Boolean",1,,,,
"dispPartyName","Name",1,,,,
"dispExemptInd","Boolean",1,,,,
"dispPartyType","Type",1,,,,
"dispExmptCertCode","Code",1,,,,
"dispPrimPartyCode","Code",1,,,,
"dispScndPartyCode","Code",1,,,,
"dispTrtryPartyCode","Code",1,,,,
"dispPartyClassCode","Code",1,,,,
"dispBusinessInd","Boolean",1,,,,
"reversalInd","Boolean",1,,,,
"weightUnitCode","Code",1,,,,
"volumeUnitCode","Code",1,,,,
"billedToDateAmt","Amount",0,,,,
"exportProcedure","Code",1,,,,
"supplementaryUnit","Amount",1,,,,
"supplementaryUnitType","Type",1,,,,
"documentType","Type",1,,,,
"billingType","Type",1,,,,
"orderType","Type",1,,,,
"statisticalValue","Amount",1,,,,
"statisticalValueCurrencyUnitName","Name",1,,,,
"documentSequenceIdCode","Code",1,,,,
"paymentDate","Date",1,,,,
"transProcTime","Timestamp",0,,,,
